,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
nemo,2,0.20020020020020018,modius,2,0.20325203252032523,decipio,2,0.20408163265306123,sponsalia,2,0.2047082906857728,sinis,2,0.19940179461615154,vendo,2,0.20942408376963353,persequor,2,0.20898641588296762,persona,2,0.211864406779661,securitas,2,0.20533880903490762,bonum,2,0.20202020202020202,emendo,2,0.19627085377821393,gigno,2,0.20964360587002098,extremum,2,0.21390374331550802,locatio,2,0.21598272138228944,iura,2,0.20304568527918782,calor,2,0.199203187250996,servitus,2,0.211864406779661,cautio,2,0.19011406844106463,lucrum,2,0.2004008016032064,quemadmodum,2,0.21253985122210414
nudo,2,0.20020020020020018,moueo,2,0.20325203252032523,declino,2,0.20408163265306123,suspectus,2,0.2047082906857728,sol,2,0.19940179461615154,porcius,2,0.20942408376963353,petitio,2,0.20898641588296762,piscis,2,0.211864406779661,sedes,2,0.20533880903490762,castrensis,2,0.20202020202020202,equito,2,0.19627085377821393,graue,2,0.20964360587002098,gloriosus,2,0.21390374331550802,matrimonium,2,0.21598272138228944,sinis,2,0.20304568527918782,cogo,2,0.199203187250996,silvester,2,0.211864406779661,commoneo,2,0.19011406844106463,mens,2,0.2004008016032064,repetitio,2,0.21253985122210414
obnoxius,2,0.20020020020020018,nequaquam,2,0.20325203252032523,deuenio,2,0.20408163265306123,tempus,2,0.2047082906857728,accido,2,0.19940179461615154,bellum,2,0.20942408376963353,procuro,2,0.20898641588296762,primitus,2,0.211864406779661,sextus,2,0.20533880903490762,ceteri,2,0.20202020202020202,extinguo,2,0.19627085377821393,gravis,2,0.20964360587002098,illido,2,0.21390374331550802,mirus,2,0.21598272138228944,actum,2,0.20304568527918782,collatio,2,0.199203187250996,substo,2,0.211864406779661,commotus,2,0.19011406844106463,multa,2,0.2004008016032064,sapio,2,0.21253985122210414
omnis,2,0.20020020020020018,obvio,2,0.20325203252032523,elemosina,2,0.20408163265306123,transversum,2,0.2047082906857728,altus,2,0.19940179461615154,christus,2,0.20942408376963353,pupillus,2,0.20898641588296762,proprius,2,0.211864406779661,sordido,2,0.20533880903490762,civis,2,0.20202020202020202,fidelis,2,0.19627085377821393,hostio,2,0.20964360587002098,mansuesco,2,0.21390374331550802,moneta,2,0.21598272138228944,adeo,2,0.20304568527918782,concurro,2,0.199203187250996,tutum,2,0.211864406779661,consequor,2,0.19011406844106463,occido,2,0.2004008016032064,socius,2,0.21253985122210414
ordinarius,2,0.20020020020020018,pareo,2,0.20325203252032523,facultas,2,0.20408163265306123,uel,2,0.2047082906857728,auris,2,0.19940179461615154,salus,2,0.20942408376963353,rapto,2,0.20898641588296762,reprobo,2,0.211864406779661,sublatus,2,0.20533880903490762,coheres,2,0.20202020202020202,firmus,2,0.19627085377821393,indigne,2,0.20964360587002098,medico,2,0.21390374331550802,mutuum,2,0.21598272138228944,adgredior,2,0.20304568527918782,converto,2,0.199203187250996,tuus,2,0.211864406779661,conservo,2,0.19011406844106463,perpetro,2,0.2004008016032064,solus,2,0.21253985122210414
pariter,2,0.20020020020020018,penis,2,0.20325203252032523,fero,2,0.20408163265306123,unde,2,0.2047082906857728,beneficium,2,0.19940179461615154,apex,2,0.20942408376963353,recupero,2,0.20898641588296762,rusticus,2,0.211864406779661,summa,2,0.20533880903490762,consors,2,0.20202020202020202,fors,2,0.19627085377821393,indo,2,0.20964360587002098,nescio,2,0.21390374331550802,poto,2,0.21598272138228944,ago,2,0.20304568527918782,defendo,2,0.199203187250996,aliunde,2,0.211864406779661,corrumpo,2,0.19011406844106463,possessio,2,0.2004008016032064,species,2,0.21253985122210414
pauper,2,0.20020020020020018,praecedo,2,0.20325203252032523,fides,2,0.20408163265306123,castra,2,0.2047082906857728,causidicus,2,0.19940179461615154,confiteor,2,0.20942408376963353,reficio,2,0.20898641588296762,silentium,2,0.211864406779661,transactio,2,0.20533880903490762,constitutio,2,0.20202020202020202,frango,2,0.19627085377821393,justus,2,0.20964360587002098,ploro,2,0.21390374331550802,qualis,2,0.21598272138228944,amicus,2,0.20304568527918782,descendo,2,0.199203187250996,districtus,2,0.211864406779661,damnum,2,0.19011406844106463,potis,2,0.2004008016032064,sufficio,2,0.21253985122210414
pecus,2,0.20020020020020018,promissum,2,0.20325203252032523,frater,2,0.20408163265306123,regia,2,0.2047082906857728,censeo,2,0.19940179461615154,copiosus,2,0.20942408376963353,repeto,2,0.20898641588296762,stultus,2,0.211864406779661,uiuo,2,0.20533880903490762,contendo,2,0.20202020202020202,homo,2,0.19627085377821393,juxta,2,0.20964360587002098,pontifex,2,0.21390374331550802,quattuordecim,2,0.21598272138228944,auris,2,0.20304568527918782,domus,2,0.199203187250996,subverto,2,0.211864406779661,debeo,2,0.19011406844106463,praetor,2,0.2004008016032064,tertio,2,0.21253985122210414
procurator,2,0.20020020020020018,proneptis,2,0.20325203252032523,incendo,2,0.20408163265306123,adsum,2,0.2047082906857728,cessio,2,0.19940179461615154,effundo,2,0.20942408376963353,retineo,2,0.20898641588296762,sus,2,0.211864406779661,vendo,2,0.20533880903490762,defensio,2,0.20202020202020202,iracundia,2,0.19627085377821393,manifestus,2,0.20964360587002098,posteaquam,2,0.21390374331550802,repleo,2,0.21598272138228944,bonus,2,0.20304568527918782,excedo,2,0.199203187250996,traho,2,0.211864406779661,donator,2,0.19011406844106463,praevaricor,2,0.2004008016032064,uapulo,2,0.21253985122210414
reor,2,0.20020020020020018,propinquo,2,0.20325203252032523,incumbo,2,0.20408163265306123,bini,2,0.2047082906857728,ciuito,2,0.19940179461615154,esca,2,0.20942408376963353,reuelo,2,0.20898641588296762,testimonium,2,0.211864406779661,absque,2,0.20533880903490762,derelinquo,2,0.20202020202020202,justum,2,0.19627085377821393,merces,2,0.20964360587002098,tribunal,2,0.21390374331550802,retentio,2,0.21598272138228944,cognatio,2,0.20304568527918782,extraneus,2,0.199203187250996,caecus,2,0.211864406779661,emtor,2,0.19011406844106463,propinquum,2,0.2004008016032064,utilitas,2,0.21253985122210414
retineo,2,0.20020020020020018,propter,2,0.20325203252032523,invalidus,2,0.20408163265306123,calciamentum,2,0.2047082906857728,condico,2,0.19940179461615154,everto,2,0.20942408376963353,sicut,2,0.20898641588296762,triplus,2,0.211864406779661,capillus,2,0.20533880903490762,distribuo,2,0.20202020202020202,litigiosus,2,0.19627085377821393,munero,2,0.20964360587002098,tumultus,2,0.21390374331550802,rumpo,2,0.21598272138228944,cognatus,2,0.20304568527918782,fideiubeo,2,0.199203187250996,uaria,2,0.211864406779661,extinguo,2,0.19011406844106463,quippe,2,0.2004008016032064,verbum,2,0.21253985122210414
